TradeDate,000300.SH,399905.SZ,HSCEI.HI,NDX.GI,SPX.GI,GDAXI.GI,AU9999.SGE,TERGLU.FI,SPGOGUP.SPI,930849.CSI,H11008.CSI
2017/6/19,3553.6653,6057.4115,10520.8,5772.223,2453.46,12888.95,276.25,1790.619995,2539.72,154.3932,193.7082
2017/6/20,3546.494,6066.9046,10468.48,5726.311,2437.03,12814.79,276.01,1780.219971,2492.18,154.5558,193.9885
2017/6/21,3587.955,6078.1925,10393.59,5782.394,2435.61,12774.26,275.79,1773.459961,2466.02,154.4824,194.1377
2017/6/22,3590.3425,5992.3352,10402.76,5779.87,2434.5,12794,277.47,1772.550049,2465.67,154.2079,194.2289
2017/6/23,3622.8831,6010.3137,10430.04,5803.105,2438.3,12733.41,277.78,1780.560059,2483.86,154.2424,194.199
2017/6/26,3668.0919,6111.6406,10530.66,5777.588,2439.07,12770.83,277.9,1787.819946,2483.31,154.542,194.3662
2017/6/27,3674.7152,6113.1658,10498.07,5671.598,2419.38,12671.02,276.56,1759.560059,2492.41,154.7916,194.5962
2017/6/28,3646.1666,6086.2112,10408.19,5753.032,2440.69,12647.27,275.94,1778.119995,2508.93,154.7817,194.6833
2017/6/29,3668.8279,6116.9932,10432.02,5653.021,2419.7,12416.19,275.03,1767.410034,2512.72,154.7771,194.9035
2017/6/30,3666.7977,6138.1556,10365.22,5646.917,2423.41,12325.12,273.1,1759.560059,2508.5,154.6297,195.0373
2017/7/3,3650.8463,6177.3953,10412.48,5596.956,2429.01,12475.31,271.84,1772.390015,2544.55,154.7463,195.1117
2017/7/4,3619.9841,6146.8527,10305.98,5596.956,2429.01,12437.13,270.38,1773.560059,2549.59,154.5748,195.1456
2017/7/5,3659.6795,6193.9641,10380.73,5648.816,2432.54,12453.68,270.02,1752.319946,2503.06,154.5856,195.1916
2017/7/6,3660.0967,6201.6535,10346.32,5597.905,2409.75,12381.25,270.12,1730.150024,2488.31,154.9634,195.2735
2017/7/7,3655.9293,6226.0108,10251.83,5656.47,2425.18,12388.68,269.8,1733.98999,2474.1,154.9127,195.3331
